"business","name","taxcode","latitude","longitude","routines","reinspects","complaints","inspects","ratio","meanscore","highrisks","interval","c1","c2","c3","Score"
"10","Tiramisu Kitchen","H24",37.791116,-122.403816,4,3,0,7,0.75,96,0,282,0,0,0,4
"17","GEORGES COFFEE SHOP","H24",37.741086,-122.401737,4,3,0,7,0.75,97,0.25,259,0,0,0,4
"19","Nrgize Lifestyle Cafe","H24",37.786848,-122.421547,5,0,0,5,0,96,0,240,0,0,0,4
"24","OMNI SF Hotel  2nd Floor Pantry","H24",37.792888,-122.403135,5,0,0,5,0,98,0,238,0,0,0,4
"29","CHICOS PIZZA","H24",37.774722,-122.406761,4,1,1,6,0.25,86,0.5,272,0,0,0,4
"31","Normans Ice Cream and Freezes","H24",37.807155,-122.419004,2,0,0,2,0,100,0,630,0,0,0,4
"45","CHARLIES DELI CAFE","H24",37.747114,-122.413641,4,0,0,4,0,96,0,292,0,0,0,4
"48","ARTS CAFE","H24",37.764013,-122.465749,4,1,0,5,0.25,91,0,266,0,0,0,4
"50","SUSHI ZONE","H24",37.771437,-122.423892,5,1,0,6,0.2,99,0,182,0,0,0,4
"54","RHODA GOLDMAN PLAZA","H24",37.784626,-122.437734,5,0,0,5,0,95,0,194,0,0,0,4
"56","CAFE X + O","H24",37.742325,-122.426476,6,0,1,7,0,97,0,204,0,0,0,4
"58","Oasis Grill","H24",37.794483,-122.396584,4,4,0,8,1,89,0.5,302,0,0,0,4
"61","Chowders","H24",37.80824,-122.410189,4,0,0,4,0,94,0,266,0,0,0,4
"66","STARBUCKS","H24",37.763578,-122.477461,6,0,0,6,0,97,0.17,173,0,0,0,4
"67","Revolution Cafe","H24",37.755419,-122.419542,5,5,1,11,1,94,0.4,172,0,0,0,4
"71","KAPPA RESTAURANT","H24",37.785567,-122.430074,2,0,0,2,0,100,0,756,0,0,0,4
"73","DINOS UNCLE VITO","H24",37.788932,-122.433895,4,0,0,4,0,92,0,246,0,0,0,4
"76","OMNI SF Hotel  3rd Floor Pantry","H24",37.792888,-122.403135,5,0,0,5,0,99,0,238,0,0,0,4
"77","OMNI SF Hotel  Employee Cafeteria","H24",37.792888,-122.403135,5,0,0,5,0,98,0,238,0,0,0,4
"80","LAW SCHOOL CAFE","H24",37.774941,-122.452797,5,0,0,5,0,96,0.4,204,0,0,0,4
"81","CLUB EDBON APPETIT","H24",37.778468,-122.448484,3,2,0,5,0.67,91,0,237,0,0,0,4
"83","Chez Maman","H24",37.762513,-122.397169,3,4,0,7,1.33,87,0.67,272,0,0,1,3
"85","EL MAJAHUAL RESTAURANT","H24",37.754687,-122.420945,4,5,0,9,1.25,86,0.5,277,0,0,1,3
"88","JBS PLACE","H24",37.765003,-122.398084,5,8,0,13,1.6,83,1.4,236,1,1,1,1
"95","Vega","H24",37.739207,-122.417447,4,2,0,6,0.5,89,0.25,275,0,0,0,4
"98","XOX Truffles","H24",37.801665,-122.412104,3,1,0,4,0.33,94,0.33,238,0,0,0,4
"99","J  M A1 CAFE RESTAURANT LLC","H24",37.794293,-122.405967,2,1,1,4,0.5,91,0,212,0,0,0,4
"101","Cable Car Corner","H24",37.794615,-122.409705,3,0,0,3,0,97,0,316,0,0,0,4
"102","Akikos Sushi Bar","H24",37.788484,-122.410045,4,4,0,8,1,92,0.25,238,0,0,0,4
"104","Ino Sushi","H24",37.785018,-122.429587,3,0,0,3,0,98,0,396,0,0,0,4
"108","Rue Lepic","H24",37.790868,-122.410854,3,1,0,4,0.33,87,0.67,326,0,0,0,4
"111","Petite Deli","H24",37.801665,-122.412104,3,1,0,4,0.33,89,0,238,0,0,0,4
"116","The Waterfront Restaurant","H24",37.793874,-122.396464,3,3,7,13,1,89,0.67,382,0,0,0,4
"121","Akikos Sushi","H24",37.790643,-122.404676,4,2,0,6,0.5,93,0.25,281,0,0,0,4
"126","Broadway Dim Sum","H24",37.797708,-122.408413,5,4,0,9,0.8,75,1.2,208,1,1,0,2
"130","Caffe Macaroni","H24",37.796208,-122.404308,4,1,0,5,0.25,97,0,324,0,0,0,4
"132","Silver Star Cafe and Deli","H24",37.797668,-122.401125,3,4,0,7,1.33,89,0.67,389,0,0,1,3
"134","Mint","H24",37.780247,-122.418974,2,0,0,2,0,100,0,253,0,0,0,4
"140","Cafe Madeleine","H24",37.793268,-122.400323,4,2,0,6,0.5,94,0.5,273,0,0,0,4
"141","AFC SUSHI  MOLLIE STONES 2","H24",37.788773,-122.434697,6,2,0,8,0.33,97,0,197,0,0,0,4
"146","DEJA VU PIZZA  PASTA","H24",37.764713,-122.424709,5,3,1,9,0.6,97,0,178,0,0,0,4
"151","BUS STOP PIZZA 1","H24",37.771487,-122.437047,2,0,0,2,0,97,0,425,0,0,0,4
"155","CAFE COLE","H24",37.769303,-122.450724,4,2,0,6,0.5,94,0,224,0,0,0,4
"164","San Francisco Soup Co","H24",37.789064,-122.402861,5,0,0,5,0,99,0,228,0,0,0,4
"178","C  Y Cafe","H24",37.793128,-122.401395,4,0,0,4,0,96,0,282,0,0,0,4
"179","SECRET GARDEN TEA HOUSE","H24",37.765933,-122.465809,3,0,0,3,0,91,0,266,0,0,0,4
"180","NENAS RESTAURANT","H24",37.74146,-122.422484,5,2,0,7,0.4,94,0.4,232,0,0,0,4
"184","RADIO HAVANA","H24",37.755124,-122.420916,3,2,0,5,0.67,95,0.33,486,0,0,0,4
"187","TAZA WRAPS  JUICE","H24",37.723054,-122.483612,5,0,0,5,0,100,0,235,0,0,0,4
"190","COURTYARD BY MARRIOTTSTAFF KITCHEN","H24",37.785614,-122.396693,4,0,0,4,0,98,0,240,0,0,0,4
"192","ARLEQUIN","H24",37.777014,-122.422345,3,3,0,6,1,93,0,389,0,0,0,4
"194","BAYSIDE COFFEE SHOP","H24",37.715126,-122.398901,3,0,0,3,0,89,0,212,0,0,0,4
"198","SUBWAY","H24",37.741829,-122.388098,4,1,0,5,0.25,96,0,259,0,0,0,4
"199","TIFFANYS CAFE","H24",37.741829,-122.388098,4,3,0,7,0.75,88,0.5,259,0,0,0,4
"200","JIMS SMOKE SHOP","H24",37.760568,-122.387772,5,2,0,7,0.4,90,0.25,184,0,0,0,4
"201","CHEZ PAPA","H24",37.762543,-122.396739,3,4,0,7,1.33,92,0.33,266,0,0,1,3
"208","CONSTANS GROCERY","H24",37.739961,-122.389003,3,2,1,6,0.67,88,0.67,284,0,0,0,4
"216","SORABOL","H24",37.792577,-122.393992,5,0,0,5,0,100,0,215,0,0,0,4
"217","PROGRESSIVE GROUNDS","H24",37.739143,-122.417653,4,0,1,5,0,98,0,247,0,0,0,4
"221","NOODLE EXPRESS","H24",37.787076,-122.421822,5,0,0,5,0,93,0.6,178,0,0,0,4
"226","Grumpys American Pub","H24",37.799594,-122.400586,4,5,0,9,1.25,89,0.25,318,0,0,1,3
"230","Globe Eats Inc","H24",37.797738,-122.400603,3,6,2,11,2,72,1,337,1,0,1,2
"231","Caffe Puccini","H24",37.799087,-122.408488,5,4,0,9,0.8,87,0.6,208,0,0,0,4
"234","New Moon Restaurant","H24",37.797303,-122.408574,3,3,0,6,1,82,0.33,375,1,0,0,3
"236","Gelato Classico Italian Ice","H24",37.800543,-122.408784,4,0,0,4,0,94,0,331,0,0,0,4
"239","Just Wonton","H24",37.739063,-122.480409,4,2,0,6,0.5,84,0.5,259,1,0,0,3
"240","MIKI RESTAURANT","H24",37.775663,-122.497949,5,3,0,8,0.6,73,1.8,228,1,1,0,2
"247","Toy Boat Dessert Cafe","H24",37.782953,-122.46351,4,2,0,6,0.5,90,0.5,298,0,0,0,4
"251","BEANERY INC","H24",37.764148,-122.464391,4,1,1,6,0.25,92,0,280,0,0,0,4
"253","Anns Donut Coffee Shop","H24",37.725949,-122.433906,4,0,0,4,0,98,0,191,0,0,0,4
"256","Marche Club of SF","H24",37.727983,-122.432101,2,0,0,2,0,98,0,349,0,0,0,4
"258","VIKINGS GIANT SUBMARINE","H24",37.72404,-122.456539,6,0,0,6,0,93,0,195,0,0,0,4
"260","Monterey Pizza","H24",37.731523,-122.448711,6,2,1,9,0.33,90,0.17,180,0,0,0,4
"264","Melt","H24",37.801203,-122.411412,3,2,0,5,0.67,88,0.33,237,0,0,0,4
"267","ASA SUSHI","H24",37.800023,-122.442266,3,5,0,8,1.67,84,1,333,1,0,1,2
"268","LOS HERMANOS","H24",37.800767,-122.436924,5,1,0,6,0.2,95,0.2,212,0,0,0,4
"272","ON THE BRIDGE","H24",37.785227,-122.431472,6,2,0,8,0.33,86,0.67,194,0,0,0,4
"273","HAI SUN RESTAURANT","H24",37.800133,-122.431064,4,4,0,8,1,80,0.5,287,1,0,0,3
"275","Ben  Jerrys","H24",37.786548,-122.407313,6,4,0,10,0.67,91,0.33,196,0,0,0,4
"276","CORSAGNA","H24",37.79826,-122.426748,5,0,0,5,0,99,0,231,0,0,0,4
"279","Inga Donuts","H24",37.790347,-122.417227,5,0,0,5,0,98,0,225,0,0,0,4
"281","PARMA RESTAURANT","H24",37.799807,-122.437649,4,0,0,4,0,94,0.25,290,0,0,0,4
"283","HAI KY MI GIA","H24",37.784193,-122.417967,2,2,0,4,1,96,0,216,0,0,0,4
"286","PUNJAB KABAB HOUSE","H24",37.784303,-122.409647,3,7,1,11,2.33,66,2.33,204,1,1,1,1
"290","BISTRO AIX","H24",37.800187,-122.437756,5,3,0,8,0.6,88,1,246,0,0,0,4
"298","Bamboo Restaurant","H24",37.790134,-122.420634,5,2,0,7,0.4,93,0.2,244,0,0,0,4
"299","YUKOL PLACE THAI CUISINE","H24",37.799287,-122.440624,5,4,1,10,0.8,84,1.6,194,1,1,0,2
"300","SUBWAY","H24",37.794134,-122.423234,5,2,2,9,0.4,94,0,221,0,0,0,4
"302","MOULIN ROUGE","H24",37.786084,-122.417889,3,1,0,4,0.33,94,0,322,0,0,0,4
"305","PACIFIC CATCH","H24",37.800763,-122.436536,5,3,0,8,0.6,92,0.2,238,0,0,0,4
"315","The Posh Bagel","H24",37.760954,-122.434935,4,5,1,10,1.25,90,0,235,0,0,1,3
"318","FIRST CUP","H24",37.802454,-122.424854,5,1,0,6,0.2,93,0,235,0,0,0,4
"320","NAPOLI PIZZA RESTAURANT","H24",37.786545,-122.419894,5,0,0,5,0,85,0.4,202,1,0,0,3
"323","WAYO","H24",37.788609,-122.42213,4,0,0,4,0,98,0,222,0,0,0,4
"325","Mifune Restaurant","H24",37.785457,-122.430317,6,1,0,7,0.17,84,0.83,194,1,0,0,3
"326","TEN ICHI RESTAURANT","H24",37.790333,-122.434144,4,4,0,8,1,85,0.5,246,1,0,0,3
"328","Miyako","H24",37.783017,-122.432584,5,0,0,5,0,94,0,177,0,0,0,4
"332","Nanis Coffee","H24",37.782173,-122.448527,6,0,0,6,0,100,0,163,0,0,0,4
"335","Polkers","H25",37.797296,-122.421967,4,6,0,10,1.5,77,1.25,223,1,1,1,1
"337","GORDO TAQUERIA 2","H24",37.758941,-122.48591,4,4,1,9,1,87,0.75,253,0,0,0,4
"379","GIANT SCOOP","H24",37.727468,-122.403582,6,2,1,9,0.33,90,0.83,203,0,0,0,4
"380","COFFEE CHOICE","H24",37.783517,-122.398668,4,0,0,4,0,100,0,241,0,0,0,4
"383","King Ling","H24",37.786543,-122.414536,4,3,0,7,0.75,92,0,269,0,0,0,4
"384","RINCONSITO SALVADORENO","H24",37.73571,-122.424528,4,0,0,4,0,92,0.25,241,0,0,0,4
"385","REINA RESTAURANT","H24",37.712927,-122.444358,4,1,2,7,0.25,91,0.5,226,0,0,0,4
"389","CAFE ELENA","H24",37.794347,-122.394932,4,0,0,4,0,100,0,321,0,0,0,4
"393","SUPER STAR RESTAURANT","H24",37.719692,-122.438575,5,0,2,7,0,96,0,214,0,0,0,4
"394","SF MARRIOTT HOTEL PANTRY 5F","H24",37.784964,-122.404752,4,0,0,4,0,100,0,214,0,0,0,4
"395","SF MARRIOTT HOTEL PANTRY 4F","H24",37.784964,-122.404752,4,0,0,4,0,100,0,214,0,0,0,4
"397","SF MARRIOTT VIEW LOUNGE PANTRY","H24",37.784964,-122.404752,4,0,0,4,0,99,0,214,0,0,0,4
"398","HENRYS CAFETERIA","H24",37.788117,-122.399979,4,0,0,4,0,100,0,257,0,0,0,4
"400","COW HOLLOW CATERING","H24",37.801401,-122.447857,3,0,0,3,0,97,0,375,0,0,0,4
"401","STARBUCKS COFFEE","H24",37.794347,-122.394932,5,0,0,5,0,100,0,242,0,0,0,4
"403","HAAGENDAZS 561","H24",37.784317,-122.407563,5,0,0,5,0,91,0.4,180,0,0,0,4
"409","EL FARO","H26",37.788613,-122.393894,2,0,1,3,0,100,0,396,0,0,0,4
"413","HOUSE OF HUNAN","H24",37.757923,-122.393914,3,1,0,4,0.33,82,1,330,1,0,0,3
"415","Cafe Madeleine","H24",37.786698,-122.405473,6,4,1,11,0.67,87,1,172,0,0,0,4
"420","Busters","H24",37.798444,-122.407444,3,4,0,7,1.33,82,0.67,397,1,0,1,2
"421","Caffe Roma Coffee Roasting Co","H24",37.799845,-122.409434,4,1,0,5,0.25,93,0.25,329,0,0,0,4
"422","Michelangelo Caffe","H25",37.800166,-122.410006,4,3,0,7,0.75,84,0.5,290,1,0,0,3
"423","Orale Orale Inc","H24",37.794501,-122.39716,5,4,0,9,0.8,89,0.4,260,0,0,0,4
"424","CHATZ","H28",37.762334,-122.398416,4,3,0,7,0.75,96,0,241,0,0,0,4
"425","Mocca","H24",37.788011,-122.406252,4,2,1,7,0.5,90,0.5,245,0,0,0,4
"428","Caffe Ambrosia","H24",37.790109,-122.402597,5,1,0,6,0.2,100,0,220,0,0,0,4
"429","Calzones","H24",37.798965,-122.408204,3,0,0,3,0,95,0,393,0,0,0,4
"430","Rose Pistola","H24",37.799915,-122.409544,3,1,2,6,0.33,93,0.67,402,0,0,0,4
"431","Bohemian Cigar Store","H24",37.800135,-122.409854,4,3,0,7,0.75,93,0.25,329,0,0,0,4
"435","VieniVieni","H24",37.798914,-122.408885,4,0,0,4,0,94,0,256,0,0,0,4
"436","North Beach Restaurant","H24",37.799646,-122.408939,3,5,5,13,1.67,83,1.33,391,1,1,1,1
"438","Hawaii West","H24",37.798494,-122.409337,3,2,0,5,0.67,87,0.33,372,0,0,0,4
"442","My Canh Restaurant","H24",37.797828,-122.407474,5,2,0,7,0.4,87,0.6,236,0,0,0,4
"443","The Stinking Rose","H26",37.798306,-122.407327,5,5,1,11,1,83,0.8,237,1,0,0,3
"444","Vesuvio Cafe","H24",37.797468,-122.406147,5,2,0,7,0.4,88,0.6,188,0,0,0,4
"447","LOsteria Del Forno","H24",37.799837,-122.409517,4,3,0,7,0.75,84,0.75,266,1,0,0,3
"448","Yuet Lee Restaurant","H24",37.797817,-122.408597,5,2,0,7,0.4,82,0.4,222,1,0,0,3
"463","Sams Pizza","H24",37.797828,-122.407444,4,2,0,6,0.5,87,0,234,0,0,0,4
"468","Taqueria Zorro","H24",37.798065,-122.406855,3,3,0,6,1,84,1,362,1,0,0,3
"469","Viva Pizza Restaurant","H24",37.798065,-122.406855,2,3,0,5,1.5,68,3.5,505,1,1,1,1
"470","Franchino","H24",37.798427,-122.407507,4,1,0,5,0.25,92,0.5,219,0,0,0,4
"472","Mona Lisa Restaurant","H24",37.798526,-122.407657,4,2,0,6,0.5,83,0.5,255,1,0,0,3
"473","Caffe Greco","H24",37.79886,-122.408204,5,4,1,10,0.8,84,0.6,207,1,0,0,3
"475","Maras","H24",37.799501,-122.409084,4,3,0,7,0.75,91,0.25,237,0,0,0,4
"477","Il Pollaio","H24",37.800036,-122.409817,5,1,0,6,0.2,88,0.4,214,0,0,0,4
"479","Ristorante Ideale","H24",37.799003,-122.407274,3,4,0,7,1.33,88,1.33,460,0,1,1,2
"480","Mos Grill","H24",37.799058,-122.407217,3,5,0,8,1.67,83,1,350,1,0,1,2
"483","Maykadeh Restaurant","H24",37.799758,-122.407113,3,2,0,5,0.67,88,0.33,368,0,0,0,4
"484","Columbus Cafe","H25",37.799598,-122.408394,3,3,0,6,1,88,0.33,410,0,0,0,4
"485","Silverhat Bar Inc","H24",37.799388,-122.410223,5,0,0,5,0,92,0,239,0,0,0,4
"486","Tommaso","H24",37.797398,-122.405322,2,0,0,2,0,99,0,197,0,0,0,4
"488","The House","H24",37.798519,-122.407071,4,1,0,5,0.25,92,0.25,309,0,0,0,4
"489","DolHo Restaurant","H24",37.796718,-122.408714,4,6,1,11,1.5,75,1.25,302,1,1,1,1
"494","San Francisco Athletic Club","H24",37.800897,-122.409189,2,5,0,7,2.5,78,2,678,1,1,1,1
"495","Cinecitta","H25",37.800254,-122.410447,4,4,0,8,1,83,0.75,228,1,0,0,3
"496","Caffe Trieste","H24",37.798744,-122.407408,3,2,0,5,0.67,87,0,398,0,0,0,4
"500","Roxanne Cafe","H24",37.790003,-122.408688,6,5,1,12,0.83,81,1,186,1,0,0,3
"502","COURTYARD BY MARRIOTTCOFFEE SHOP","H24",37.785614,-122.396693,4,0,0,4,0,94,0,240,0,0,0,4
"503","Kiji Restaurant","H24",37.754923,-122.423126,4,4,0,8,1,88,0.5,294,0,0,0,4
"505","Quickly","H24",37.714458,-122.44277,5,3,0,8,0.6,92,0.4,214,0,0,0,4
"507","Vikings Giant Sub","H24",37.733449,-122.434241,5,1,0,6,0.2,97,0,190,0,0,0,4
"508","VICTORIAS PIZZERIA","H24",37.775653,-122.497387,5,1,0,6,0.2,100,0,209,0,0,0,4
"509","Cafe Bakery","H24",37.75409,-122.478248,6,4,2,12,0.67,83,1,198,1,0,0,3
"510","Donut Time","H24",37.753633,-122.48954,6,1,2,9,0.17,88,0.33,195,0,0,0,4
"519","SHERATON PALACE  EMP  CAFETERIA","H24",37.788286,-122.401543,4,1,0,5,0.25,96,0,263,0,0,0,4
"520","Daily Health","H24",37.758941,-122.48591,4,3,0,7,0.75,84,0.5,228,1,0,0,3
"521","California Crisp","H24",37.728497,-122.475639,5,2,1,8,0.4,90,0.4,193,0,0,0,4
"522","Boudin Sourdough Bakery","H24",37.728497,-122.475639,6,0,0,6,0,98,0.17,209,0,0,0,4
"527","MELISAS CHINESE CUISINE","H24",37.777292,-122.463496,6,5,0,11,0.83,85,0.33,194,1,0,0,3
"529","Nizarios Pizza","H24",37.781278,-122.460661,5,7,0,12,1.4,91,0,242,0,0,1,3
"538","Marnee Thai Restaurant","H24",37.763343,-122.481809,5,5,0,10,1,88,0.4,184,0,0,0,4
"539","EL SALVADOR RESTAURANT","H24",37.760579,-122.41932,5,3,0,8,0.6,94,0.4,186,0,0,0,4
"542","Hamburger Haven","H24",37.782799,-122.467852,4,1,2,7,0.25,90,0.25,277,0,0,0,4
"544","THAI TIME RESTAURANT","H24",37.782534,-122.466615,4,0,0,4,0,91,0.25,308,0,0,0,4
"547","LITTLE HENRYS","H24",37.775728,-122.497522,6,2,1,9,0.33,99,0,182,0,0,0,4
"549","Mescolanza","H25",37.782064,-122.483159,4,0,0,4,0,96,0,260,0,0,0,4
"551","Gordo Taqueria 1","H24",37.782107,-122.483631,3,3,3,9,1,92,0.33,332,0,0,0,4
"552","Lois Vietnamese Restaurant","H24",37.763428,-122.481736,5,3,2,10,0.6,84,0.8,219,1,0,0,3
"557","KATIAS","H24",37.77721,-122.462874,2,0,0,2,0,92,0,181,0,0,0,4
"558","CAJUN PACIFIC","H24",37.762304,-122.506543,3,1,0,4,0.33,93,0,300,0,0,0,4
"562","DESTINO RESTAURANT","H24",37.771437,-122.423892,5,1,0,6,0.2,99,0.2,182,0,0,0,4
"567","SAN FRANCISCO SOUP COMPANY","H24",37.794347,-122.394932,4,1,0,5,0.25,96,0.25,322,0,0,0,4
"573","MUFFINS MUFFIN","H24",37.787755,-122.399372,4,0,0,4,0,95,0,301,0,0,0,4
"580","TACO LOS ALTOS","H24",37.738979,-122.414971,5,0,0,5,0,95,0.2,213,0,0,0,4
"587","NEW TSING TAO RESTAURANT","H24",37.740654,-122.465389,3,1,0,4,0.33,87,0,245,0,0,0,4
"588","BURRITO EXPRESS","H24",37.742673,-122.48334,5,2,1,8,0.4,87,0.8,225,0,0,0,4
"589","WON TON HOUSE","H24",37.754106,-122.477841,5,3,0,8,0.6,83,0.8,186,1,0,0,3
"591","YOU SEE SUSHI","H24",37.762378,-122.462692,3,1,0,4,0.33,91,0,255,0,0,0,4
"597","Caffe Del Sole","H24",37.785068,-122.464194,4,2,0,6,0.5,94,0,326,0,0,0,4
"606","TSING TAO RESTAURANT","H24",37.781624,-122.492609,5,7,5,17,1.4,89,0.25,250,0,0,1,3
"610","POMELO","H24",37.762378,-122.462692,3,0,0,3,0,83,0.33,238,1,0,0,3
"615","J  A RESTAURANT","H24",37.709857,-122.449709,5,4,0,9,0.8,90,0.4,201,0,0,0,4
"619","A1 BAKERY","H24",37.724824,-122.460726,5,2,2,9,0.4,89,0.6,200,0,0,0,4
"625","CALIFORNIA TENNIS CLUB","H24",37.786463,-122.437657,4,0,0,4,0,93,0,222,0,0,0,4
"627","EDDIES CAFE","H24",37.776898,-122.438098,5,1,0,6,0.2,95,0.2,196,0,0,0,4
"628","EL BURRITO EXPRESS 2","H24",37.786407,-122.440057,6,1,0,7,0.17,92,0.67,172,0,0,0,4
"631","SUBWAY SANDWICHES  SALADS","H24",37.78332,-122.432647,5,0,1,6,0,93,0.4,169,0,0,0,4
"634","KING LEES RESTAURANT","H24",37.782632,-122.432504,5,8,2,15,1.6,72,2,173,1,1,1,1
"639","Swan Oyster Depot","H24",37.790734,-122.420783,3,0,2,5,0,93,0,264,0,0,0,4
"642","ANDERSEN BAKERY","H24",37.785457,-122.430317,5,0,0,5,0,99,0,175,0,0,0,4
"645","TANTAN","H24",37.785274,-122.431918,4,0,0,4,0,98,0,212,0,0,0,4
"659","Golden Coffee","H24",37.788322,-122.415218,5,1,0,6,0.2,91,0.2,227,0,0,0,4
"665","BRAZEN HEAD RESTAURANT","H25",37.799218,-122.432517,4,2,0,6,0.5,84,0.5,319,1,0,0,3
"667","ULee Restaurant","H24",37.794448,-122.418057,2,2,0,4,1,78,1.5,489,1,1,0,2
"670","VIKINGS GIANT SUBMARINE SANDWICHES","H24",37.801334,-122.424905,5,1,0,6,0.2,89,0.2,238,0,0,0,4
"673","LOMBARD ALIVE SHOP","H24",37.800137,-122.433984,3,0,2,5,0,95,0,288,0,0,0,4
"687","Kitchen Kura","H24",37.763638,-122.474196,4,3,1,8,0.75,75,1,287,1,0,0,3
"691","MARINA SUBMARINE","H24",37.796893,-122.436847,5,2,0,7,0.4,90,0.2,236,0,0,0,4
"695","BARBARY COAST PASTRY  COFFEE","H24",37.784965,-122.408614,4,1,0,5,0.25,95,0,236,0,0,0,4
"696","New York New York Pizza Kitchen","H24",37.784303,-122.409647,3,3,1,7,1,94,0,274,0,0,0,4
"700","BAMBOO GARDEN","H24",37.784829,-122.412912,3,7,0,10,2.33,75,1.67,274,1,1,1,1
"703","THEM KY RESTAURANT","H24",37.784193,-122.417967,3,3,0,6,1,84,0.33,220,1,0,0,3
"709","MONG THU COFFEE SHOP","H24",37.783041,-122.415719,2,2,0,4,1,91,0,378,0,0,0,4
"726","BEN WAH RESTAURANT","H25",37.788138,-122.440174,4,3,2,9,0.75,91,0.25,235,0,0,0,4
"727","FOOD INC","H24",37.788068,-122.440705,3,1,0,4,0.33,89,0,404,0,0,0,4
"728","Cumaica Coffee Company","H24",37.788068,-122.440705,3,0,0,3,0,93,0,405,0,0,0,4
"729","ASHOKA Indian Cuisine","H24",37.800758,-122.437024,3,2,1,6,0.67,82,0.67,304,1,0,0,3
"741","MOZZARELLA DI BUFALA PIZZERIA II","H24",37.740052,-122.466544,4,0,0,4,0,88,0.25,249,0,0,0,4
"744","Cafe Bellini","H24",37.784317,-122.407563,5,3,2,10,0.6,87,0.4,201,0,0,0,4
"750","123 DELI  Lees","H24",37.788613,-122.393894,4,0,1,5,0,91,0.25,237,0,0,0,4
"754","Educated Palate Restaurant","H24",37.784323,-122.404549,3,0,0,3,0,89,0,366,0,0,0,4
"758","BAKERYICE CREAMSTOREROOM","H24",37.788286,-122.401543,4,1,0,5,0.25,98,0,263,0,0,0,4
"759","KYOYA RESTAURANT","H24",37.788286,-122.401543,4,1,0,5,0.25,99,0,263,0,0,0,4
"760","Tart To Tart","H25",37.787598,-122.40071,3,0,0,3,0,95,0,408,0,0,0,4
"765","APERTO RESTAURANT","H24",37.762568,-122.397192,4,1,0,5,0.25,94,0,245,0,0,0,4
"768","MOSHI MOSHI","H24",37.763187,-122.388895,4,1,0,5,0.25,91,0.75,263,0,0,0,4
"770","CROWN DONUTS","H24",37.741041,-122.388652,4,3,0,7,0.75,88,0.25,209,0,0,0,4
"773","MARIPOSA HUNTERS POINT YACHT CLUB","H24",37.77325,-122.387222,3,0,0,3,0,96,0,354,0,0,0,4
"774","BAY VIEW BOAT CLUB","H24",37.772667,-122.387032,3,0,0,3,0,95,0,434,0,0,0,4
"783","LA CARNE ASADA RESTAURANT","H24",37.740804,-122.422934,4,2,0,6,0.5,92,0.5,227,0,0,0,4
"786","Piperade","H24",37.800674,-122.401484,3,2,0,5,0.67,93,0.33,376,0,0,0,4
"790","Paul Mart","H24",37.804211,-122.402341,3,2,0,5,0.67,92,0.33,427,0,0,0,4
"792","Boudin Bakery","H24",37.791924,-122.398588,4,1,1,6,0.25,92,0,324,0,0,0,4
"795","Ben  Jerrys","H28",37.808494,-122.412,3,0,0,3,0,95,0,348,0,0,0,4
"796","Hunan Restaurant","H24",37.798987,-122.402307,3,4,1,8,1.33,78,1,364,1,0,1,2
"798","Sushi Rapture","H24",37.793997,-122.416267,5,2,0,7,0.4,90,0.4,254,0,0,0,4
"799","Courtyard by Marriott at Fishermans Wharf","H24",37.806964,-122.41862,3,0,0,3,0,98,0,335,0,0,0,4
"805","MAGIC WOK","H24",37.774722,-122.406761,3,3,1,7,1,73,2,184,1,1,0,2
"809","TRIPTYCH","H25",37.775797,-122.409002,5,4,0,9,0.8,84,0,256,1,0,0,3
"811","EDEN PLAZA CAFE","H28",37.783954,-122.395699,3,0,0,3,0,94,0,354,0,0,0,4
"816","B  J QUARTER POUNDER BURGERS","H24",37.722374,-122.395841,4,2,1,7,0.5,88,0.75,210,0,0,0,4
"821","LA SANTANECA","H24",NA,NA,2,0,0,2,0,89,1,1023,0,0,0,4
"824","BABYS EATERY AND PALABOK","H24",37.724579,-122.434879,5,2,0,7,0.4,87,1,226,0,0,0,4
"826","ANGELINAS DELICAFE  CATERING","H24",37.784038,-122.481982,3,0,0,3,0,95,0,357,0,0,0,4
"827","TAQUERIA EL FAROLITO NO 2","H25",37.721251,-122.437385,5,2,1,8,0.4,91,0.4,250,0,0,0,4
"830","LOS PLANES DE RENDEROS","H24",37.723078,-122.435966,4,0,2,6,0,92,0.25,237,0,0,0,4
"835","Kam Po Kitchen","H24",37.797223,-122.410513,3,4,1,8,1.33,75,1.67,319,1,1,1,1
"840","Molinari Delicatessen","H24",37.798556,-122.407707,4,9,1,14,2.25,80,1.25,259,1,1,1,1
"842","Da Flora","H24",37.801086,-122.411411,3,0,0,3,0,87,0.33,344,0,0,0,4
"843","Estia Restaurant","H24",37.798328,-122.407067,2,3,0,5,1.5,70,3,505,1,1,1,1
"845","Cafe Jacqueline","H24",37.800428,-122.407517,3,1,0,4,0.33,95,0,241,0,0,0,4
"847","Golden Boy Pizza","H24",37.799648,-122.408033,3,4,0,7,1.33,88,0.33,370,0,0,1,3
"850","Caffe Sport","H24",37.799588,-122.408514,3,3,0,6,1,87,0.67,420,0,0,0,4
"852","New Hollywood Bakery  Restaurant","H24",NA,NA,5,4,2,11,0.8,73,1.6,188,1,1,0,2
"854","Firenze By Night","H24",37.798914,-122.408885,4,5,0,9,1.25,72,1.25,300,1,1,1,1
